"","subsection","response","estimator","estimate","cov","section","province"
"1","313Aa","BIOLIVE_TPA","hb_unit",11.8980361208278,1.48625839101183,"313A","313"
"2","313Aa","BIOLIVE_TPA","hb_area",10.6188559211721,0.086625981774756,"313A","313"
"3","313Aa","BIOLIVE_TPA","freq_unit",12.0125155130573,0.110269721362755,"313A","313"
"4","313Aa","BIOLIVE_TPA","freq_area",9.18771629510865,0.113918021635879,"313A","313"
"5","313Aa","BIOLIVE_TPA","dirmean",8.59116134246575,0.145838830667069,"313A","313"
"6","313Aa","BIOLIVE_TPA","dirps",8.9190159146993,0.121969854831536,"313A","313"
"7","313Ab","BIOLIVE_TPA","hb_unit",5.77369615742608,0.752128076653583,"313A","313"
"8","313Ab","BIOLIVE_TPA","hb_area",4.18036256281822,0.0995567140428795,"313A","313"
"9","313Ab","BIOLIVE_TPA","freq_unit",5.79431748694966,0.0988781427523439,"313A","313"
"10","313Ab","BIOLIVE_TPA","freq_area",2.87590158478007,0.0897010515154997,"313A","313"
"11","313Ab","BIOLIVE_TPA","dirmean",2.9428336443299,0.115259940290724,"313A","313"
"12","313Ab","BIOLIVE_TPA","dirps",2.874581407071,0.0901171397894628,"313A","313"
"13","313Ac","BIOLIVE_TPA","hb_unit",8.13392811659369,0.0370478010602199,"313A","313"
"14","313Ac","BIOLIVE_TPA","hb_area",5.74667365282293,0.0699378616885606,"313A","313"
"15","313Ac","BIOLIVE_TPA","freq_unit",8.14711634057785,0.0794087676050061,"313A","313"
"16","313Ac","BIOLIVE_TPA","freq_area",5.32761544529142,0.0878153684400535,"313A","313"
"17","313Ac","BIOLIVE_TPA","dirmean",5.75872714341847,0.1092006880651,"313A","313"
"18","313Ac","BIOLIVE_TPA","dirps",5.34782852855582,0.0893668327078944,"313A","313"
"19","313Ad","BIOLIVE_TPA","hb_unit",4.0215281627604,1.46272162941829,"313A","313"
"20","313Ad","BIOLIVE_TPA","hb_area",3.39947723129226,0.232781857279115,"313A","313"
"21","313Ad","BIOLIVE_TPA","freq_unit",4.08927579027258,0.271860110959733,"313A","313"
"22","313Ad","BIOLIVE_TPA","freq_area",1.05767950196064,0.157498059687322,"313A","313"
"23","313Ad","BIOLIVE_TPA","dirmean",1.02349405517241,0.226742524936817,"313A","313"
"24","313Ad","BIOLIVE_TPA","dirps",1.05340932797058,0.157766217692083,"313A","313"
"25","313Ae","BIOLIVE_TPA","hb_unit",7.31471983264505,0.0403025548435231,"313A","313"
"26","313Ae","BIOLIVE_TPA","hb_area",7.50954818119882,0.293827425106575,"313A","313"
"27","313Ae","BIOLIVE_TPA","freq_unit",7.39748225568948,0.222633116778488,"313A","313"
"28","313Ae","BIOLIVE_TPA","freq_area",1.6720801715476,0.158164808976737,"313A","313"
"29","313Ae","BIOLIVE_TPA","dirmean",1.791198824,0.197529460896859,"313A","313"
"30","313Ae","BIOLIVE_TPA","dirps",1.60171680020184,0.159020176011494,"313A","313"
"31","313Ag","BIOLIVE_TPA","hb_unit",10.5090353516677,0.430678580863361,"313A","313"
"32","313Ag","BIOLIVE_TPA","hb_area",7.24255504647472,0.0541435072415705,"313A","313"
"33","313Ag","BIOLIVE_TPA","freq_unit",10.7226900819132,0.153367894225148,"313A","313"
"34","313Ag","BIOLIVE_TPA","freq_area",8.66595391574828,0.142685356789164,"313A","313"
"35","313Ag","BIOLIVE_TPA","dirmean",9.37492359259259,0.17616975306538,"313A","313"
"36","313Ag","BIOLIVE_TPA","dirps",9.45708471341879,0.165059430594346,"313A","313"
"37","313Ah","BIOLIVE_TPA","hb_unit",10.7275002155964,0.234992458124045,"313A","313"
"38","313Ah","BIOLIVE_TPA","hb_area",7.81325275798092,0.107209395361015,"313A","313"
"39","313Ah","BIOLIVE_TPA","freq_unit",10.7483786619582,0.0889716305916599,"313A","313"
"40","313Ah","BIOLIVE_TPA","freq_area",4.44772362066925,0.073035377090315,"313A","313"
"41","313Ah","BIOLIVE_TPA","dirmean",5.10765251879699,0.0976990482608429,"313A","313"
"42","313Ah","BIOLIVE_TPA","dirps",4.38078007067115,0.0737247786436897,"313A","313"
"43","313Ai","BIOLIVE_TPA","hb_unit",14.0944300201682,0.1084257427857,"313A","313"
"44","313Ai","BIOLIVE_TPA","hb_area",9.16080760708554,0.0903902110040922,"313A","313"
"45","313Ai","BIOLIVE_TPA","freq_unit",14.1264865001056,0.108376486243616,"313A","313"
"46","313Ai","BIOLIVE_TPA","freq_area",7.03623371108564,0.086596468310732,"313A","313"
